chunk_id,citation,source,question
0,21 CFR 123 § 123.3,21 CFR 123,What specific term is used to describe the unique alphanumeric identifier given to a molluscan shellfish processor by a shellfish control authority?
0,21 CFR 123 § 123.3,21 CFR 123,How is a critical limit defined in the context of controlling a food safety hazard at a critical control point?
1,21 CFR 123 § 123.3,21 CFR 123,"What specific types of biological, chemical, or physical properties can render food unsafe for people to eat?"
1,21 CFR 123 § 123.3,21 CFR 123,Which entities are typically excluded from acting as the importer when goods are brought into the United States?
2,21 CFR 123 § 123.3,21 CFR 123,Are commercial entities that only harvest and transport fish and fishery products without processing them subject to the regulations in 21 CFR 123?
2,21 CFR 123 § 123.3,21 CFR 123,Which fish species are classified as scombroid toxin-forming species capable of producing significant histamine levels?
3,21 CFR 123 § 123.3,21 CFR 123,How does the FDA define finished smoked or smoke-flavored fishery products in terms of their preparation methods?
3,21 CFR 123 § 123.3,21 CFR 123,What is the regulatory definition of a tag used on containers of shellstock?
4,21 CFR 123 § 123.5,21 CFR 123,"Which regulations are used to determine if the facilities, methods, practices, and controls for processing fish and fishery products are safe and sanitary?"
4,21 CFR 123 § 123.5,21 CFR 123,What is the specific purpose of the part of the regulations addressing the processing of fish and fishery products?
5,21 CFR 123 § 123.6,21 CFR 123,What sources of information should a seafood processor use to determine if a food safety hazard is reasonably likely to occur?
5,21 CFR 123 § 123.6,21 CFR 123,When is a seafood processor legally required to have and implement a written HACCP plan?
6,21 CFR 123 § 123.6,21 CFR 123,Under what conditions is a seafood processor permitted to group multiple types of fishery products together within a single HACCP plan?
6,21 CFR 123 § 123.6,21 CFR 123,Which specific biological and chemical factors must a seafood processor evaluate when identifying food safety hazards that are reasonably likely to occur?
7,21 CFR 123 § 123.6,21 CFR 123,Who is authorized to sign and date the HACCP plan to signify its acceptance for implementation by the processing firm?
7,21 CFR 123 § 123.6,21 CFR 123,What specific details must be included in the recordkeeping system used to document the monitoring of critical control points?
8,21 CFR 123 § 123.6,21 CFR 123,Under what specific circumstances must a seafood processor date and sign their HACCP plan?
8,21 CFR 123 § 123.6,21 CFR 123,When are fish and fishery products considered adulterated under section 402(a)(4) of the act regarding HACCP requirements?
9,21 CFR 123 § 123.7,21 CFR 123,What specific elements must be included in a pre-established corrective action plan to ensure safety when a critical limit is breached?
9,21 CFR 123 § 123.7,21 CFR 123,What immediate procedures must a seafood processor follow when a critical limit deviation occurs and no pre-existing corrective action plan is in place?
10,21 CFR 123 § 123.7,21 CFR 123,What qualifications must the person conducting a HACCP plan reassessment possess after a critical control point deviation occurs?
10,21 CFR 123 § 123.7,21 CFR 123,How must all corrective actions implemented in response to a deviation be recorded and tracked?
11,21 CFR 123 § 123.8,21 CFR 123,How frequently must a seafood processor reassess their HACCP plan under standard regulatory requirements?
11,21 CFR 123 § 123.8,21 CFR 123,What specific ongoing verification tasks must a processor perform regarding process-monitoring instruments and consumer feedback?
12,21 CFR 123 § 123.8,21 CFR 123,What is the maximum allowable timeframe for a trained individual to review and sign off on records documenting critical control point monitoring?
12,21 CFR 123 § 123.8,21 CFR 123,When must a processor immediately execute corrective action procedures based on verification findings?
13,21 CFR 123 § 123.8,21 CFR 123,What specific operational modifications require a processor without a HACCP plan to reassess their initial hazard analysis?
13,21 CFR 123 § 123.8,21 CFR 123,Who is authorized to conduct the hazard analysis reassessment when changes occur that could impact potential food safety hazards?
14,21 CFR 123 § 123.9,21 CFR 123,What specific identifying details and timestamps must be included on all required seafood HACCP records?
14,21 CFR 123 § 123.9,21 CFR 123,How long must a seafood processor keep production records for frozen or shelf-stable products at their U.S. facility?
15,21 CFR 123 § 123.9,21 CFR 123,Under what specific circumstances may a seafood processing facility transfer its HACCP records to an off-site location?
15,21 CFR 123 § 123.9,21 CFR 123,Are generic-type HACCP plans that reflect standard industry practices protected from public disclosure?
17,21 CFR 123 § 123.10,21 CFR 123,What qualifications must an individual possess to develop a processor-specific HACCP plan for fishery products?
17,21 CFR 123 § 123.10,21 CFR 123,Who is authorized to perform the required record reviews during seafood processing operations?
18,21 CFR 123 § 123.11,21 CFR 123,How frequently must a seafood processor monitor sanitation conditions and practices during production?
18,21 CFR 123 § 123.11,21 CFR 123,What specific measures must be detailed in a facility's written sanitation standard operating procedure regarding water usage?
19,21 CFR 123 § 123.11,21 CFR 123,How must a seafood processor handle sanitation conditions and practices that fail to meet established requirements?
19,21 CFR 123 § 123.11,21 CFR 123,What specific documentation regarding monitoring and corrections are processors required to maintain in their sanitation control records?
20,21 CFR 123 § 123.12,21 CFR 123,What criteria must a foreign country's inspection system meet through an active memorandum of understanding with the FDA for imported fish products?
20,21 CFR 123 § 123.12,21 CFR 123,What minimum elements must be included in the written verification procedures used by importers when fish and fishery products are not sourced from a country with an active FDA memorandum of understanding?
21,21 CFR 123 § 123.12,21 CFR 123,What documentation must an importer maintain on file regarding a foreign processor's HACCP plan to satisfy verification requirements?
